LDCpointID,ProjectKey,PrimaryKey,DateVisited,Trt_Type_Major,Trt_Type_Sub,most_recent_comp,recent_trt_count
190,BLM_AIM,NM_LasCrucesDO_2016_LUP_Sandy-482_V22021-09-01,2021-09-24,NA,NA,NA,NA
191,BLM_AIM,17110616112979972017-09-01,2017-11-05,NA,NA,NA,NA
192,BLM_AIM,18091113542463092018-09-01,2018-08-14,NA,NA,NA,NA
193,BLM_AIM,NML00000_2020_Loam_3502019-09-01,2019-10-15,NA,NA,NA,NA
194,BLM_AIM,20092114080698092020-09-01,2020-09-20,NA,NA,NA,NA
195,BLM_AIM,18101609341832862018-09-01,2018-10-14,NA,NA,NA,NA
196,BLM_AIM,NMP02000_Year1_ChiStatic_2152019-09-01,2019-10-23,NA,NA,NA,NA
197,BLM_AIM,NML00000_2019_Sandy_5022019-09-01,2019-10-11,NA,NA,NA,NA
198,BLM_AIM,NM_CFO_FUELS_TRGT_2023_Fuels_7_V12023-09-01,2023-09-07,Prescribed Burn,Prescribed Burn,2008-04-14,1
199,BLM_AIM,NM_Carlsbad_LUP_2019_ChiActive_022_V12020-09-01,2020-08-24,NA,NA,NA,NA
200,BLM_AIM,NMP02000_2019_Reclaim_0942019-09-01,2019-10-29,NA,NA,NA,NA
201,BLM_AIM,20123529020801R2,2012-06-25,NA,NA,NA,NA
202,BLM_AIM,NM_LasCrucesDO_2016_LUP_Sandy-479_V22021-09-01,2021-11-22,NA,NA,NA,NA
203,BLM_AIM,17120410561463082017-09-01,2017-10-18,NA,NA,NA,NA
204,BLM_AIM,AZ_TFO_LUP_2020_SP-399_V12023-09-01,2023-09-20,NA,NA,NA,NA
205,BLM_AIM,NM_Carlsbad_LUP_2019_ChiActive_042_V12021-09-01,2021-07-08,Prescribed Burn,Prescribed Burn,2016-03-24,1
206,BLM_AIM,18112314482833062018-09-01,2018-08-08,NA,NA,NA,NA
207,BLM_AIM,20123529020801R1,2012-06-26,NA,NA,NA,NA
208,BLM_AIM,NM_Carlsbad_LUP_2019_ChiStatic_227_V12021-09-01,2021-10-11,NA,NA,NA,NA
209,BLM_AIM,NML00000_2019_Sandy_4972019-09-01,2019-08-15,NA,NA,NA,NA
210,BLM_AIM,NMP02000_Year1_ChiActive_0142019-09-01,2019-09-09,NA,NA,NA,NA
211,BLM_AIM,NM_LasCrucesMimbres2019_MIMB_060_V12020-09-01,2020-10-04,NA,NA,NA,NA
212,BLM_AIM,NMP02000_Year1_ChiActive_0102019-09-01,2019-09-05,NA,NA,NA,NA
213,BLM_AIM,1000000032018-09-01,2018-08-16,NA,NA,NA,NA
214,BLM_AIM,1801050800368442017-09-01,2017-10-16,NA,NA,NA,NA
215,BLM_AIM,NM_LasCrucesDO_2016_LUP_Loam-338_V22021-09-01,2021-09-21,NA,NA,NA,NA
216,BLM_AIM,NM_Carlsbad_LUP_2019_HabActive_554_V12021-09-01,2021-08-17,NA,NA,NA,NA
217,BLM_AIM,NM_LasCrucesDO_2016_LUP_Sandy-474_V22021-09-01,2021-09-16,NA,NA,NA,NA
218,BLM_AIM,17102312015948222017-09-01,2017-10-20,NA,NA,NA,NA
219,BLM_AIM,NM_LCDO_LUP_TRICOUNTY_2017_BOO_066_V12022-09-01,2022-09-02,NA,NA,NA,NA
220,BLM_AIM,NM_CFO_FUELS_TRGT_2023_Fuels_10_V12023-09-01,2023-09-07,Prescribed Burn,Prescribed Burn,2012-03-05,1
221,BLM_AIM,18091109070983212018-09-01,2018-09-04,NA,NA,NA,NA
222,BLM_AIM,NM_LasCrucesTriCounty_2017_SA_414_V12020-09-01,2020-08-13,NA,NA,NA,NA
223,BLM_AIM,NM_LasCrucesTriCounty_2017_MHI_372_V12020-09-01,2020-12-04,NA,NA,NA,NA
224,BLM_AIM,NM_LasCrucesDO_2019_LUP_MIMB-124_V12021-09-01,2021-11-19,NA,NA,NA,NA
225,BLM_AIM,NM_LasCrucesDO_2019_LUP_MIMB-136_V12021-09-01,2021-12-05,NA,NA,NA,NA
226,BLM_AIM,17102311070931422017-09-01,2017-10-18,NA,NA,NA,NA
227,BLM_AIM,NM_LasCrucesDO_2016_LUP_Gravel-052_V22021-09-01,2021-10-03,NA,NA,NA,NA
228,BLM_AIM,AZ_TFO_LUP_2020_SP_375_V12022-09-01,2022-09-25,NA,NA,NA,NA
229,BLM_AIM,AZ_TFO_LUP_2020_SP-404_V12023-09-01,2023-09-10,NA,NA,NA,NA
230,BLM_AIM,NM_LasCrucesTriCounty_2017_BOO_062_V12020-09-01,2021-01-17,NA,NA,NA,NA
231,BLM_AIM,NML00000_2019_Sandy_5062019-09-01,2019-09-26,NA,NA,NA,NA
232,BLM_AIM,20193515200107B1,2019-06-19,NA,NA,NA,NA
233,BLM_AIM,NM_LasCrucesDO_2016_LUP_Sandy-467_V22021-09-01,2021-09-20,NA,NA,NA,NA
234,BLM_AIM,16102716152679242016-09-01,2016-10-23,NA,NA,NA,NA
235,BLM_AIM,AZ_AZ-Tucson-Field-Office-2021_SP-364_V12021-09-01,2021-10-02,NA,NA,NA,NA
236,BLM_AIM,NML00000_2019_Sandy_4982019-09-01,2019-08-26,NA,NA,NA,NA
237,BLM_AIM,NM_LasCrucesDO_2016_LUP_Hills-193_V22021-09-01,2021-08-24,NA,NA,NA,NA
