Prj_ID,Trt_ID,init_date_est,comp_date_est,Trt_Type_Major,Trt_Type_Sub,Treatment_Type,TrtPolyID
26166,73693,2017-11-01,2018-02-22,Prescribed Burn,Prescribed Burn,Prescribed Burn,30740
26167,73694,2017-03-09,2017-03-10,Prescribed Burn,Prescribed Burn,Prescribed Burn,30741
26168,73695,2017-12-05,2017-12-07,Prescribed Burn,Prescribed Burn,Prescribed Burn,30742
26169,73696,2018-08-02,2018-08-03,Prescribed Burn,Prescribed Burn,Prescribed Burn,30743
26170,73697,2018-04-09,2018-04-11,Prescribed Burn,Prescribed Burn,Prescribed Burn,30744
26171,73698,2018-03-08,2018-09-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30745
26172,73699,2018-10-24,2019-04-26,Prescribed Burn,Prescribed Burn,Prescribed Burn,30746
26173,73700,2018-10-12,2019-03-21,Prescribed Burn,Prescribed Burn,Prescribed Burn,30747
26174,73701,2018-06-06,2018-08-28,Prescribed Burn,Prescribed Burn,Prescribed Burn,30748
26175,73702,2018-08-15,2018-08-16,Prescribed Burn,Prescribed Burn,Prescribed Burn,30749
26176,73703,2018-04-25,2018-04-29,Prescribed Burn,Prescribed Burn,Prescribed Burn,30750
26177,73704,2018-11-27,2018-11-29,Prescribed Burn,Prescribed Burn,Prescribed Burn,30751
26178,73705,2018-10-23,2018-10-24,Prescribed Burn,Prescribed Burn,Prescribed Burn,30752
26179,73706,2018-11-01,2018-11-02,Prescribed Burn,Prescribed Burn,Prescribed Burn,30753
26180,73707,2018-10-01,2019-05-07,Prescribed Burn,Prescribed Burn,Prescribed Burn,30754
26181,73708,2018-03-15,2018-03-16,Prescribed Burn,Prescribed Burn,Prescribed Burn,30755
26182,73709,2019-05-30,2019-07-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30756
26183,73710,2019-10-29,2019-11-06,Prescribed Burn,Prescribed Burn,Prescribed Burn,30757
26184,73711,2019-12-16,2019-12-18,Prescribed Burn,Prescribed Burn,Prescribed Burn,30758
26185,73712,2019-10-01,2019-10-05,Prescribed Burn,Prescribed Burn,Prescribed Burn,30759
26186,73713,2019-09-21,2019-09-23,Prescribed Burn,Prescribed Burn,Prescribed Burn,30760
26187,73714,2019-10-02,2019-11-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30761
26188,73715,2019-10-14,2019-10-22,Prescribed Burn,Prescribed Burn,Prescribed Burn,30762
26189,73716,2019-10-10,2019-10-14,Prescribed Burn,Prescribed Burn,Prescribed Burn,30763
26190,73717,2019-05-15,2019-05-16,Prescribed Burn,Prescribed Burn,Prescribed Burn,30764
26191,73718,2019-03-05,2019-03-06,Prescribed Burn,Prescribed Burn,Prescribed Burn,30765
26192,73719,2020-07-24,2020-08-20,Prescribed Burn,Prescribed Burn,Prescribed Burn,30766
26193,73720,2020-04-20,2020-05-12,Prescribed Burn,Prescribed Burn,Prescribed Burn,30767
26194,73721,2020-04-30,2020-05-11,Prescribed Burn,Prescribed Burn,Prescribed Burn,30768
26195,73722,2020-11-04,2020-11-07,Prescribed Burn,Prescribed Burn,Prescribed Burn,30769
26196,73723,2020-04-11,2020-04-11,Prescribed Burn,Prescribed Burn,Prescribed Burn,30770
26197,73724,2020-03-03,2020-03-03,Prescribed Burn,Prescribed Burn,Prescribed Burn,30771
26198,73725,1951-12-25,1952-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30772
26199,73726,1952-12-25,1953-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30773
26200,73727,1953-12-25,1954-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30774
26201,73728,1959-01-01,1959-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30775
26202,73729,1960-12-25,1961-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30776
26203,73730,1960-12-25,1961-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30777
26205,73732,1961-12-25,1962-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30779
26206,73733,1962-10-03,1962-10-10,Prescribed Burn,Prescribed Burn,Prescribed Burn,30780
26207,73734,1963-12-25,1964-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30781
26208,73735,1963-12-25,1964-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30782
26209,73736,1965-12-25,1966-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30783
26210,73737,1967-12-25,1968-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30784
26211,73738,1968-12-25,1969-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30785
26212,73739,1972-12-25,1973-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30786
26213,73740,1974-01-01,1974-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30787
26214,73741,1974-12-25,1975-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30788
26215,73742,1976-01-01,1976-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30789
26216,73743,1980-01-01,1980-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30790
26217,73744,1982-12-25,1983-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30791
26218,73745,1982-12-25,1983-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30792
