ORIG_OID,OVERLAP_OID,ProjectKey,PrimaryKey,DateVisited
42952,32446,BLM_AIM,CA_ELFO_INT_Ranch_2022_RanchFireUntreated2_V22022-09-01,2022-04-23
42953,32410,BLM_AIM,CA_ELFO_INT_Ranch_2022_RanchFireUntreated3_V22022-09-01,2022-04-23
42954,32397,BLM_AIM,CA_ELFO_INT_Ranch_2022_RanchFireUntreated4_V22022-09-01,2022-04-24
42955,33118,BLM_AIM,CA_ELFO_NHorse_2023_Ravendale-AMP-3_V22023-09-01,2023-06-24
42956,33106,BLM_AIM,CA_ELFO_NHorse_2023_Ravendale-AMP-5_V22023-09-01,2023-06-24
42957,33024,BLM_AIM,CA_ELFO_NHorse_2023_Ravendale-Amp-858_V22023-09-01,2023-07-22
42958,32625,BLM_AIM,CA_ELFO_Parsni_2022_ParsnipSeeding01_V22023-09-01,2023-05-30
42959,32637,BLM_AIM,CA_ELFO_Parsni_2022_ParsnipSeeding02_V22023-09-01,2023-05-30
42960,32684,BLM_AIM,CA_ELFO_Parsni_2022_ParsnipSeeding03_V22023-09-01,2023-07-10
42961,32730,BLM_AIM,CA_ELFO_Parsni_2022_ParsnipSeeding04_V22023-09-01,2023-07-09
42962,32712,BLM_AIM,CA_ELFO_Parsni_2022_ParsnipSeeding05_V22023-09-01,2023-07-09
42963,32641,BLM_AIM,CA_ELFO_Parsni_2022_ParsnipSeeding06_V22023-09-01,2023-07-09
42964,29959,BLM_AIM,CA_NCDO_LUP_2019_A-ARAR1_V52023-09-01,2023-07-23
42965,35352,BLM_AIM,CA_NCDO_LUP_2019_Bare156_V22023-09-01,2023-06-27
42966,35521,BLM_AIM,CA_NCDO_LUP_2019_Bare181_V22022-09-01,2022-07-16
42967,35947,BLM_AIM,CA_NCDO_LUP_2019_Bare329_V22023-09-01,2023-06-09
42968,34217,BLM_AIM,CA_NCDO_LUP_2019_Bare336_V22023-09-01,2023-07-11
42969,35088,BLM_AIM,CA_NCDO_LUP_2019_Bare347_V22023-09-01,2023-06-27
42970,38254,BLM_AIM,CA_NCDO_LUP_2019_BigValleyMountain494_V22022-09-01,2022-05-20
42971,32127,BLM_AIM,CA_NCDO_LUP_2019_BlackMtnJuniperSite_18_V22022-09-01,2022-04-24
42972,40890,BLM_AIM,CA_NCDO_LUP_2019_BoardCorral324_V22022-09-01,2022-06-18
42973,39350,BLM_AIM,CA_NCDO_LUP_2019_BullCreek164_V22023-09-01,2023-07-09
42974,38977,BLM_AIM,CA_NCDO_LUP_2019_BullCreek1_V22023-09-01,2023-08-06
42975,39091,BLM_AIM,CA_NCDO_LUP_2019_BullCreek3_V22023-09-01,2023-06-24
42976,38702,BLM_AIM,CA_NCDO_LUP_2019_BullCreek91_V22022-09-01,2022-06-03
42977,41732,BLM_AIM,CA_NCDO_LUP_2019_Calcutta220_V22022-09-01,2022-06-16
42978,35931,BLM_AIM,CA_NCDO_LUP_2019_CloverCreekPlot1_V22023-09-01,2023-06-09
42979,35259,BLM_AIM,CA_NCDO_LUP_2019_ColdSprings828_V22023-09-01,2023-07-07
42980,41493,BLM_AIM,CA_NCDO_LUP_2019_CrooksLake366_V22023-09-01,2023-08-08
42981,41828,BLM_AIM,CA_NCDO_LUP_2019_CrooksLake537_V22023-09-01,2023-06-12
42982,33845,BLM_AIM,CA_NCDO_LUP_2019_D1-ARTRV2_V52023-09-01,2023-06-25
42983,31083,BLM_AIM,CA_NCDO_LUP_2019_D3_ARTRW5_V52022-09-01,2022-05-23
42984,30697,BLM_AIM,CA_NCDO_LUP_2019_DeepCut321_V22022-09-01,2022-05-23
42985,37263,BLM_AIM,CA_NCDO_LUP_2019_DenioPlot001_V22022-09-01,2022-07-15
42986,35747,BLM_AIM,CA_NCDO_LUP_2019_DryCow517_V22022-09-01,2022-08-12
42987,36159,BLM_AIM,CA_NCDO_LUP_2019_DryCowNew_V22023-09-01,2023-07-06
42988,36296,BLM_AIM,CA_NCDO_LUP_2019_DuckLake252_V22022-09-01,2022-07-18
42989,36136,BLM_AIM,CA_NCDO_LUP_2019_DuckLake312_V22022-09-01,2022-07-04
42990,36629,BLM_AIM,CA_NCDO_LUP_2019_DuckLake322_V22022-09-01,2022-07-28
42991,36604,BLM_AIM,CA_NCDO_LUP_2019_DuckLakePlot001_V22022-09-01,2022-07-18
42992,36379,BLM_AIM,CA_NCDO_LUP_2019_DuckLakeUnburned1_V22023-09-01,2023-07-22
42993,30146,BLM_AIM,CA_NCDO_LUP_2019_EastBaldMountain304_V22023-09-01,2023-05-25
42994,37276,BLM_AIM,CA_NCDO_LUP_2019_HomeCamp182_V22022-09-01,2022-07-15
42995,38090,BLM_AIM,CA_NCDO_LUP_2019_HomeCamp219_V22023-09-01,2023-06-10
42996,38330,BLM_AIM,CA_NCDO_LUP_2019_HomeCamp397_V22023-09-01,2023-06-25
42997,37936,BLM_AIM,CA_NCDO_LUP_2019_HomeCamp433_V22022-09-01,2022-06-03
42998,40378,BLM_AIM,CA_NCDO_LUP_2019_LittleBasin339_V22022-09-01,2022-06-02
42999,39364,BLM_AIM,CA_NCDO_LUP_2019_LongValley264_V22022-09-01,2022-06-02
43000,40163,BLM_AIM,CA_NCDO_LUP_2019_LongValley380_V22022-09-01,2022-06-02
43001,35611,BLM_AIM,CA_NCDO_LUP_2019_LostCreekUnburned1_V22022-09-01,2022-07-18
43002,37519,BLM_AIM,CA_NCDO_LUP_2019_LowerLake461_V22022-09-01,2022-07-27
43003,43977,BLM_AIM,CA_NCDO_LUP_2019_MahoganyMountain293_V22022-09-01,2022-07-27
43004,40205,BLM_AIM,CA_NCDO_LUP_2019_MassacreLakes209_V22023-09-01,2023-08-05
43005,37589,BLM_AIM,CA_NCDO_LUP_2019_MassacreMountain117_V22023-09-01,2023-08-03
43006,38079,BLM_AIM,CA_NCDO_LUP_2019_MassacreMountain349_V22022-09-01,2022-06-20
43007,37538,BLM_AIM,CA_NCDO_LUP_2019_MassacreMountain438_V22023-09-01,2023-08-03
43008,36756,BLM_AIM,CA_NCDO_LUP_2019_MoonSprings407_V22022-09-01,2022-05-20
43009,36880,BLM_AIM,CA_NCDO_LUP_2019_MuckValley3_V22023-09-01,2023-06-09
43010,38199,BLM_AIM,CA_NCDO_LUP_2019_NORCALNONR1003_V12023-09-01,2023-06-11
43011,37174,BLM_AIM,CA_NCDO_LUP_2019_NORCALNONR1004_V12023-09-01,2023-07-24
43012,40937,BLM_AIM,CA_NCDO_LUP_2019_NORCALNONR1038_V12023-09-01,2023-08-06
43013,31724,BLM_AIM,CA_NCDO_LUP_2019_NORCALNONR1040_V12023-09-01,2023-07-21
43014,37719,BLM_AIM,CA_NCDO_LUP_2019_NORCALNONR1047_V12023-09-01,2023-06-26
43015,38824,BLM_AIM,CA_NCDO_LUP_2019_NORCALNONR1051_V12023-09-01,2023-06-12
43016,41817,BLM_AIM,CA_NCDO_LUP_2019_NORCALNONR1058_V12023-09-01,2023-06-13
43017,40677,BLM_AIM,CA_NCDO_LUP_2019_NORCALNONR1078_V12022-09-01,2022-06-17
43018,35856,BLM_AIM,CA_NCDO_LUP_2019_NORCALNONR1079_V12022-09-01,2022-07-17
43019,33968,BLM_AIM,CA_NCDO_LUP_2019_NORCALNONR1080_V12022-09-01,2022-07-30
43020,32074,BLM_AIM,CA_NCDO_LUP_2019_NORCALNONR1081_V12022-09-01,2022-08-01
43021,35037,BLM_AIM,CA_NCDO_LUP_2019_NORCALNONR1082_V12022-09-01,2022-07-03
43022,39730,BLM_AIM,CA_NCDO_LUP_2019_NORCALNONR1083_V12022-09-01,2022-06-02
43023,34234,BLM_AIM,CA_NCDO_LUP_2019_NORCALNONR1085_V12022-09-01,2022-07-04
43024,40780,BLM_AIM,CA_NCDO_LUP_2019_NORCALNONR1086_V12022-09-01,2022-06-01
43025,28978,BLM_AIM,CA_NCDO_LUP_2019_NORCALNONR1088_V12023-09-01,2023-05-11
43026,38260,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1008_V12023-09-01,2023-08-05
43027,38483,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1019_V12023-09-01,2023-08-04
43028,36323,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1087_V12023-09-01,2023-06-08
43029,41933,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1090_V12023-09-01,2023-06-13
43030,37010,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1098_V12023-09-01,2023-06-11
43031,39178,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1147_V12023-09-01,2023-06-13
43032,40696,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1182_V12023-09-01,2023-06-12
43033,30919,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1261_V12022-09-01,2022-05-23
43034,37648,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1267_V12022-09-01,2022-07-16
43035,36582,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1274_V12022-09-01,2022-05-22
43036,38598,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1275_V12022-09-01,2022-07-14
43037,32887,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1277_V12022-09-01,2022-04-25
43038,39969,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1278_V12022-09-01,2022-06-01
43039,36349,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1279_V12022-09-01,2022-07-15
43040,30834,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1284_V12022-09-01,2022-08-10
43041,32708,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1288_V12022-09-01,2022-08-11
43042,38225,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1291_V12022-09-01,2022-06-19
43043,37593,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1295_V12022-09-01,2022-07-14
43044,40100,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1302_V12022-09-01,2022-07-13
43045,39995,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1307_V12022-09-01,2022-07-13
43046,35009,BLM_AIM,CA_NCDO_LUP_2019_NORCALRV1309_V12023-09-01,2023-08-03
