LDCpointID,PrimaryKey,TrtPolyID,Trt_ID
45164,ID_FRFO_LUP_2019_PLN-216_V12023-09-01,10084,29693
43338,180725123359812018-09-01,10093,29704
43442,20164137402332B2,10093,29704
44023,16052615092010922016-09-01,10093,29704
44147,16091911250623282016-09-01,10093,29704
44197,16091409080582232016-09-01,10093,29704
44454,OR_LVFO_ALLOTS_2022_00201-02_V12022-09-01,10093,29704
44537,16091314413638852016-09-01,10093,29704
13940,UT_CoCDO_INTS_HPV_2023_Hamlin_PineValley2023-16_V12023-09-01,10127,29822
34977,11042010430219162011-09-01,10128,29824
34978,NV_WMDO_LUP_2021_WMDO2021-114_V22023-09-01,10128,29824
34977,11042010430219162011-09-01,10129,29825
34978,NV_WMDO_LUP_2021_WMDO2021-114_V22023-09-01,10129,29825
