FID_TrtPoly009,Prj_ID,Trt_ID,init_date_est,comp_date_est,Trt_Type_Major,Trt_Type_Sub,Treatment_Type,TrtPolyID,FID_MLRA,MLRA_ID,MLRARSYM,MLRA_NAME,LRRSYM,LRR_NAME,Shape_Length,Shape_Area
319,3487,9776,4/1/1995,9/13/1995,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,3146,33,33,32,Northern Intermountain Desertic Basins,D,Western Range and Irrigated Region,2336.431547405820766,66270.633477029929054
506,5503,15228,8/29/1995,10/11/1995,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,5042,33,33,32,Northern Intermountain Desertic Basins,D,Western Range and Irrigated Region,8749.671939331577960,1077983.978460219688714
693,7762,21225,4/27/1997,9/29/1997,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,7092,33,33,32,Northern Intermountain Desertic Basins,D,Western Range and Irrigated Region,7831.065398638352235,951497.691494012251496
909,10114,27457,9/26/1995,9/26/1995,Prescribed Burn,Prescribed Burn,Prescribed Burn,9287,33,33,32,Northern Intermountain Desertic Basins,D,Western Range and Irrigated Region,4572.734072390778238,1168442.553175224224105
1098,12668,34147,4/10/2012,5/9/2012,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,11622,33,33,32,Northern Intermountain Desertic Basins,D,Western Range and Irrigated Region,17708.177795929310378,1924836.628167991992086
1104,12745,34316,7/22/1999,9/23/1999,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,11703,33,33,32,Northern Intermountain Desertic Basins,D,Western Range and Irrigated Region,28015.284466786335543,6631458.931662583723664
319,3487,9776,4/1/1995,9/13/1995,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,3146,46,46,43B,Central Rocky Mountains,E,Rocky Mountain Range and Forest Region,110227.532979696465191,5729922.035806073807180
693,7762,21225,4/27/1997,9/29/1997,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,7092,46,46,43B,Central Rocky Mountains,E,Rocky Mountain Range and Forest Region,17930.821195704120328,5161566.466056584380567
506,5503,15228,8/29/1995,10/11/1995,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,5042,46,46,43B,Central Rocky Mountains,E,Rocky Mountain Range and Forest Region,9047.078072501761199,794675.224685468245298
1098,12668,34147,4/10/2012,5/9/2012,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,11622,46,46,43B,Central Rocky Mountains,E,Rocky Mountain Range and Forest Region,21224.200803105592058,2222191.891125538852066
376,4091,11514,6/6/1967,6/7/1967,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application,3685,46,46,43B,Central Rocky Mountains,E,Rocky Mountain Range and Forest Region,45916.555113075446570,11378350.592325953766704
3,22,64,9/9/1997,9/9/1997,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,38,46,46,43B,Central Rocky Mountains,E,Rocky Mountain Range and Forest Region,16122.078538000701883,2269680.414047129452229
308,3263,9125,9/23/1996,9/23/1996,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,2986,46,46,43B,Central Rocky Mountains,E,Rocky Mountain Range and Forest Region,12427.533905216369021,3237855.189551263116300
62,718,1933,4/15/1999,4/15/1999,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,661,46,46,43B,Central Rocky Mountains,E,Rocky Mountain Range and Forest Region,5040.521070588108159,1029358.501394520746544
149,1612,4510,6/15/1970,6/15/1970,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application,1521,46,46,43B,Central Rocky Mountains,E,Rocky Mountain Range and Forest Region,10624.248451474224566,3996544.316485642921180
320,3487,9778,9/25/1998,9/25/1998,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,3148,46,46,43B,Central Rocky Mountains,E,Rocky Mountain Range and Forest Region,19214.612600344669772,1007660.498902044142596
422,4462,12466,6/11/1967,6/12/1967,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application,4057,46,46,43B,Central Rocky Mountains,E,Rocky Mountain Range and Forest Region,19241.400902958248480,13577331.553083272650838
439,4808,13362,10/21/2009,10/21/2009,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application,4388,46,46,43B,Central Rocky Mountains,E,Rocky Mountain Range and Forest Region,10743.217775692088253,1500005.449302768334746
468,5155,14340,9/15/1963,6/15/1964,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application,4680,46,46,43B,Central Rocky Mountains,E,Rocky Mountain Range and Forest Region,9936.897700565266859,3728532.933055433910340
615,6815,18778,7/28/1965,6/30/1966,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application,6212,46,46,43B,Central Rocky Mountains,E,Rocky Mountain Range and Forest Region,44793.095513871208823,29311154.540240626782179
687,7717,21103,5/29/1965,6/17/1965,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application: Brush/Tree Control,7050,46,46,43B,Central Rocky Mountains,E,Rocky Mountain Range and Forest Region,51613.938848373312794,18576882.453130554407835
688,7717,21104,5/29/1965,6/17/1965,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application: Brush/Tree Control,7051,46,46,43B,Central Rocky Mountains,E,Rocky Mountain Range and Forest Region,60610.297223513392964,22014032.961423926055431
705,7838,21419,5/30/1963,6/13/1963,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application: Brush/Tree Control,7177,46,46,43B,Central Rocky Mountains,E,Rocky Mountain Range and Forest Region,26439.747650838802656,18677931.008081715553999
953,10879,29457,6/15/1969,6/15/1969,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application: Brush/Tree Control,9975,46,46,43B,Central Rocky Mountains,E,Rocky Mountain Range and Forest Region,29743.406507345207501,11502631.991662869229913
1117,12921,34799,6/15/2002,6/15/2003,Herbicide/Weeds/Chemical,Herbicide,Noxious Weeds: Weed Control - Herbicide Application,11852,46,46,43B,Central Rocky Mountains,E,Rocky Mountain Range and Forest Region,15576.469250331852891,3178924.350850197486579
1760,25539,72517,4/29/2021,5/14/2021,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,30193,46,46,43B,Central Rocky Mountains,E,Rocky Mountain Range and Forest Region,7511.387563604536808,2391825.366374478209764
1966,25832,73359,9/9/1997,9/12/1997,Prescribed Burn,Prescribed Burn,Prescribed Burn,30406,46,46,43B,Central Rocky Mountains,E,Rocky Mountain Range and Forest Region,16683.112117186039541,6063093.410938037559390
1985,25974,73501,5/7/1987,5/8/1987,Prescribed Burn,Prescribed Burn,Prescribed Burn,30548,46,46,43B,Central Rocky Mountains,E,Rocky Mountain Range and Forest Region,4417.147969387039666,1074415.054255824070424
1988,26024,73551,3/17/2000,10/12/2004,Prescribed Burn,Prescribed Burn,Prescribed Burn,30598,46,46,43B,Central Rocky Mountains,E,Rocky Mountain Range and Forest Region,25326.193445416553004,8488070.725598225370049
1991,26062,73589,9/27/2007,9/28/2007,Prescribed Burn,Prescribed Burn,Prescribed Burn,30636,46,46,43B,Central Rocky Mountains,E,Rocky Mountain Range and Forest Region,25768.199925127890310,2400728.963124996982515
2016,26024,73551,3/17/2000,10/12/2004,Prescribed Burn,Prescribed Burn,Prescribed Burn,30598,46,46,43B,Central Rocky Mountains,E,Rocky Mountain Range and Forest Region,260.173166956077239,769.214671930923828
693,7762,21225,4/27/1997,9/29/1997,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,7092,50,50,46,Northern and Central Rocky Mountain Foothills,E,Rocky Mountain Range and Forest Region,41192.034775235377310,11378043.402190394699574
1995,26115,73642,10/1/2012,5/31/2013,Prescribed Burn,Prescribed Burn,Prescribed Burn,30689,50,50,46,Northern and Central Rocky Mountain Foothills,E,Rocky Mountain Range and Forest Region,1607.090024128538289,46610.108804879237141
2022,26326,73853,9/28/2015,9/29/2015,Prescribed Burn,Prescribed Burn,Prescribed Burn,30900,50,50,46,Northern and Central Rocky Mountain Foothills,E,Rocky Mountain Range and Forest Region,65029.128567730731447,29560618.074282296001911
1972,25873,73400,10/3/2006,10/14/2006,Prescribed Burn,Prescribed Burn,Prescribed Burn,30447,50,50,46,Northern and Central Rocky Mountain Foothills,E,Rocky Mountain Range and Forest Region,141286.987301486224169,16740893.599876765161753
906,10062,27343,10/3/2006,10/14/2006,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,9245,50,50,46,Northern and Central Rocky Mountain Foothills,E,Rocky Mountain Range and Forest Region,89216.551345333311474,4279472.350252939388156
1965,25828,73355,5/5/1997,5/12/1997,Prescribed Burn,Prescribed Burn,Prescribed Burn,30402,50,50,46,Northern and Central Rocky Mountain Foothills,E,Rocky Mountain Range and Forest Region,37241.093214334163349,21777633.186688989400864
1967,25841,73368,8/24/1999,8/31/1999,Prescribed Burn,Prescribed Burn,Prescribed Burn,30415,50,50,46,Northern and Central Rocky Mountain Foothills,E,Rocky Mountain Range and Forest Region,43146.652404511602072,61614999.299360267817974
