PrimaryKey,ORIG_OID
11092614014087262015-09-01,685
11092710175157062011-09-01,686
11092715480687672011-09-01,687
11092810410095332011-09-01,688
11101008260421512011-09-01,689
11101009151763132011-09-01,690
11101010012320652011-09-01,691
11101011032065642011-09-01,692
11101012125566342011-09-01,693
1110101318312162011-09-01,694
11101014215693812011-09-01,695
11101107464713812011-09-01,696
11101109524721712011-09-01,697
11101110564421532011-09-01,698
11101112384417162011-09-01,699
11101115483542212011-09-01,700
11101211080727642011-09-01,701
11101215465023122011-09-01,702
1110131113541952011-09-01,703
11101319022876202011-09-01,704
11101320032946342011-09-01,705
11101320571584702011-09-01,706
11101321480050992011-09-01,707
11101919535893002011-09-01,708
11101922044673562011-09-01,709
11102019001587612011-09-01,710
11102019553680262011-09-01,711
11102419274974902011-09-01,712
11102422342063112011-09-01,713
1110260853539792021-08-08,714
11102609194837842021-08-08,715
11102609303729412021-08-08,716
11102609570933702021-08-08,717
11102610121477672021-08-09,718
11102610462179892021-08-09,719
11102611074354542021-08-10,720
11102611150839532021-08-10,721
11102611260116862021-08-10,722
11102611342187382021-08-09,723
11102709142793412021-07-25,724
11102709242810302021-07-25,725
11111111_2017-09-13_32.2738_-106.7472_p,726
11112107551235572011-09-01,727
11112107551235572012-09-01,728
11112107551235572013-09-01,729
11112108051751992011-09-01,730
11112108051751992012-09-01,731
11112108051751992013-09-01,732
11112108112764302011-09-01,733
11112108112764302012-09-01,734
11112108112764302013-09-01,735
11112108155578982011-09-01,736
11112108155578982012-09-01,737
11112108155578982013-09-01,738
11112108195028542011-09-01,739
11112108195028542012-09-01,740
11112108195028542013-09-01,741
11112108224655272011-09-01,742
11112108224655272012-09-01,743
11112108224655272013-09-01,744
11112108241133822011-09-01,745
11112108241133822012-09-01,746
11112108241133822013-09-01,747
11112108241133822014-09-01,748
11112108241133822015-09-01,749
11112108261693942011-09-01,750
11112108261693942012-09-01,751
11112108261693942013-09-01,752
11112108261693942014-09-01,753
11112108261693942015-09-01,754
11_pre_2017-04-07_36.6681_-105.6055_r,755
12030115151372922012-02-08,756
12030116155859892012-02-14,757
12030614471418522012-09-01,758
12030617331084782012-09-01,759
12030711525384892012-09-01,760
1203071549138032012-09-01,761
12032810212337542012-09-01,762
12032812214746562012-09-01,763
12042416564363592012-04-20,764
12042612580829982012-04-25,765
12043021230143312012-09-01,766
12050209053084012012-09-01,767
12050209093933352012-09-01,768
12050209191029872012-09-01,769
12050209445031342012-09-01,770
12050209531992182012-09-01,771
12050209581598652012-09-01,772
12050210034973492012-09-01,773
12050210251170072012-09-01,774
12050210284086182012-09-01,775
12050210353920052012-09-01,776
12050210385793772012-09-01,777
12050210511019282012-09-01,778
12050210581436242012-09-01,779
12050210581436242013-09-01,780
12050210581436242014-09-01,781
12050210581436242015-09-01,782
12050211021063802012-09-01,783
12050211060364902012-09-01,784
12050211060364902014-09-01,785
1205021110519712012-09-01,786
12050211153888932012-09-01,787
12050211201945572012-09-01,788
12050211235410512012-09-01,789
12050211273318912012-09-01,790
12050211313053422012-09-01,791
12050211350541062012-09-01,792
12050211465999252012-09-01,793
12050211502930152012-09-01,794
12050211543230792012-09-01,795
12050212491154222012-09-01,796
12050212570121102012-09-01,797
12050213014111852012-09-01,798
12050213062675882012-09-01,799
12050213062675882013-09-01,800
12050213062675882014-09-01,801
12050213062675882015-09-01,802
1205021310244002012-09-01,803
1205021310244002013-09-01,804
1205021310244002014-09-01,805
1205021310244002015-09-01,806
12050213144121492012-09-01,807
1205021320229382012-09-01,808
12050213262740432012-09-01,809
12050213302262352012-09-01,810
12050213340967732012-09-01,811
12050213463855272012-09-01,812
12050213591045492012-09-01,813
12050214003813692012-09-01,814
12050214042011402012-09-01,815
12050214094667072012-09-01,816
12050214142844642012-09-01,817
12050214172971602012-09-01,818
1205021426235562012-09-01,819
12050214300896512012-09-01,820
12050214342344102012-09-01,821
1205021438093442012-09-01,822
12050214535020332012-09-01,823
12050214593122082012-09-01,824
12050215040117092012-09-01,825
12050215065277172012-09-01,826
12050215143777952012-09-01,827
12050215181973782012-09-01,828
1205021520468782012-09-01,829
12050215233782432012-09-01,830
12050308104081702012-09-01,831
12050308142140522012-09-01,832
12050308180962022012-09-01,833
12050308243070292012-09-01,834
12050308301269552012-09-01,835
12050308373927752012-09-01,836
12050309034980382012-09-01,837
12050309075243262012-09-01,838
12050309140775792012-09-01,839
12050309170015432012-09-01,840
12050309215034372012-09-01,841
12050309244143892012-09-01,842
12050520474732662012-09-01,843
12050521025292832012-09-01,844
12050810552838742012-09-01,845
12050811231466162012-09-01,846
12050813484236802012-09-01,847
12050814495984242012-09-01,848
12050816513990292012-09-01,849
12050910370523332012-09-01,850
12050911181862642012-09-01,851
12050913350599572012-09-01,852
12050915394014582012-09-01,853
12050915423072302012-09-01,854
12051009455915382012-09-01,855
12052107500019172012-09-01,856
12052113455379622012-09-01,857
12052113495316612012-09-01,858
12052113541620032012-09-01,859
12052114084064562012-09-01,860
12052114120021152012-09-01,861
12052114170540302012-09-01,862
12052114201562942012-09-01,863
12052114305892872012-09-01,864
12052114491435192012-09-01,865
12052115030553082012-09-01,866
1205211508275042012-09-01,867
12052115184651472012-09-01,868
12052115271498462012-09-01,869
12052115310994942012-09-01,870
12052115350524932012-09-01,871
12052115422533992012-09-01,872
12052115462478702012-09-01,873
1205220719205122012-09-01,874
12052207302216912012-09-01,875
12052207302216912015-09-01,876
12052207302216912016-09-01,877
